151 engins locaux à migrer
Login prod OK
144 engins déjà en prod
[104/151] BDM-CH-01 OK (id prod 104)
[105/151] BDM-CH-02 OK (id prod 105)
[106/151] BDM-PC-01 OK (id prod 106)
[107/151] BDM-PC-02 OK (id prod 107)
[108/151] AKI-BUL-01 OK (id prod 108)
[109/151] AKI-HIB-01 OK (id prod 109)
[110/151] AKI-CB-01 OK (id prod 110)
[111/151] AKI-CB-02 OK (id prod 111)
[112/151] AKI-CB-03 OK (id prod 112)
[113/151] AKI-CB-04 OK (id prod 113)
[114/151] AKI-CB-05 OK (id prod 114)
[115/151] AKI-CB-06 OK (id prod 115)
[116/151] CO0027 OK (id prod 116)
[117/151] GO0023 OK (id prod 117)
[118/151] PC2026 OK (id prod 118)
[119/151] PC2029 OK (id prod 119)
[120/151] PC3015 OK (id prod 120)
[121/151] TR0026 OK (id prod 121)
[122/151] TR0022 OK (id prod 122)
[123/151] CO0030 OK (id prod 123)
[124/151] TR0028 OK (id prod 124)
[125/151] BEL-PC-01 OK (id prod 125)
[126/151] V5E-PC-01 OK (id prod 126)
[127/151] V5E-CB-01 OK (id prod 127)
[128/151] V5E-CO-01 OK (id prod 128)
[129/151] GO0028 OK (id prod 129)
[130/151] V5E-CB-02 OK (id prod 130)
[131/151] V5E-TR-01 OK (id prod 131)
[132/151] B7027 OK (id prod 132)
[133/151] BLW-CB-01 OK (id prod 133)
[134/151] BLW-CB-02 OK (id prod 134)
[135/151] CO0008 OK (id prod 135)
[136/151] CO0028 OK (id prod 136)
[137/151] DO0014 OK (id prod 137)
[138/151] DO3500 OK (id prod 138)
[139/151] GO0027 OK (id prod 139)
[140/151] PC02033 OK (id prod 140)
[141/151] PC2034 OK (id prod 141)
[142/151] BLW-PC-01 OK (id prod 142)
[143/151] B7025 OK (id prod 143)
[144/151] CB0121 OK (id prod 144)
[145/151] CB0120 OK (id prod 145)
[146/151] CB0115 OK (id prod 146)
[147/151] CO0007 OK (id prod 147)
[148/151] CO0026 OK (id prod 148)
[149/151] PC2022 OK (id prod 149)
[150/151] DNG-PC-01 OK (id prod 150)
[151/151] Gabon-2026 OK (id prod 151)

Terminé : 7 créés, 144 déjà présents, 151 photos uploadées, 0 erreurs
